sample_id,term,normalized_term,predicted_domain,domain_score,second_domain,second_domain_score,score_margin,confidence,assignment_method,matched_keywords,reason,gold_domain,is_correct,notes
1,Organic production of animal products until,organic production of animal products until,"Agriculture, forestry and fisheries",0.160835,"Business, industry and trade",0.116009,0.044826,low,tfidf_and_keywords,animal,"Best profile: Agriculture, forestry and fisheries; score=0.1608; margin=0.0448; keywords=animal","Agriculture, forestry and fisheries",yes,
2,Indicator A of the income from agricultural activity,indicator a of the income from agricultural activity,"Agriculture, forestry and fisheries",0.149134,Economy and national accounts,0.119663,0.029471,high,rule_override_and_tfidf,agricultural,"Best profile: Agriculture, forestry and fisheries; score=0.1491; margin=0.0295; override_rules=agriculture; keywords=agricultural","Agriculture, forestry and fisheries",yes,
3,Rye and winter cereal mixtures by area production and humidity,rye and winter cereal mixtures by area production and humidity,"Agriculture, forestry and fisheries",0.139754,"Business, industry and trade",0.105804,0.03395,low,tfidf_and_keywords,cereal,"Best profile: Agriculture, forestry and fisheries; score=0.1398; margin=0.0339; keywords=cereal","Agriculture, forestry and fisheries",yes,
4,Agricultural holdings by age of manager,agricultural holdings by age of manager,"Agriculture, forestry and fisheries",0.132142,Housing and construction,0.0,0.132142,high,rule_override_and_tfidf,agricultural,"Best profile: Agriculture, forestry and fisheries; score=0.1321; margin=0.1321; override_rules=agriculture; keywords=agricultural","Agriculture, forestry and fisheries",yes,
5,Fat contents and protein contents cow's milk - annual data,fat contents and protein contents cow's milk - annual data,"Agriculture, forestry and fisheries",0.102101,Housing and construction,0.0,0.102101,medium,tfidf_and_keywords,milk,"Best profile: Agriculture, forestry and fisheries; score=0.1021; margin=0.1021; keywords=milk","Agriculture, forestry and fisheries",yes,
6,Enterprises by impact of COVID-19 on turnover and NACE rev.2 activity aggregate - experimental statistics,enterprises by impact of covid-19 on turnover and nace rev.2 activity aggregate - experimental statistics,"Business, industry and trade",0.34776,Housing and construction,0.016132,0.331628,high,rule_override_and_tfidf,turnover,"Best profile: Business, industry and trade; score=0.3478; margin=0.3316; override_rules=turnover; keywords=turnover; strong_keywords=turnover","Business, industry and trade",yes,
7,Import prices - total industry,import prices - total industry,"Business, industry and trade",0.238354,Housing and construction,0.032524,0.205829,high,rule_override_and_tfidf,industry|import,"Best profile: Business, industry and trade; score=0.2384; margin=0.2058; override_rules=industry, imports; keywords=industry, import","Business, industry and trade",yes,
8,Industrial confidence indicator,industrial confidence indicator,"Business, industry and trade",0.174609,Housing and construction,0.0,0.174609,medium,tfidf_and_keywords,industrial,"Best profile: Business, industry and trade; score=0.1746; margin=0.1746; keywords=industrial","Business, industry and trade",yes,
9,Balance of trade,balance of trade,"Business, industry and trade",0.160727,Housing and construction,0.0,0.160727,medium,tfidf_and_keywords,trade,"Best profile: Business, industry and trade; score=0.1607; margin=0.1607; keywords=trade","Business, industry and trade",yes,
10,Production of eggs for consumption and number of laying hens,production of eggs for consumption and number of laying hens,"Business, industry and trade",0.108101,Energy,0.059718,0.048383,low,tfidf_and_keywords,production,"Best profile: Business, industry and trade; score=0.1081; margin=0.0484; keywords=production","Agriculture, forestry and fisheries",no,
